UHAWAII_ID	PSMSL_ID	Site	Basin	Lat	Lon	Country	Region	GPD_Record_Start	GPD_Record_End	Annual_Trend	Trend_Start	Trend_End	Lambda	Q99	Shape50	Shape5	Shape95	Scale50	Scale5	Scale95	Vshape	Vscale	Vscaleshape
266a	26600000	Cristobal	atlantic	9.4	-80.05	Panama	South America	1907	2014	1.478210659	1907	2014	1.490740741	0.206631648	-0.056697801	-0.22240092	0.109005319	0.031741263	0.024578724	0.038903802	0.007147681	1.34E-05	-0.00023672
010a	1000000	Rabaul	pacific	-4.2	152.25	Papua New Guinea	SIDS	1966	1997	-1.699627484	1966	1997	1.125	0.273513721	-0.816812108	-0.851118817	-0.782505399	0.085025502	0.085025463	0.085025541	0.000306381	4.00E-16	-8.87E-16
084a	8400000	Lobos de Afuera	pacific	-6.93	-80.72	Peru	South America	1982	2014	-1.196735744	1982	2014	1.060628059	0.403873238	-0.410685622	-0.708319939	-0.113051306	0.131100759	0.075501851	0.186699668	0.023060559	0.000804704	-0.003932917
093b	9300000	Callao-B	pacific	-12.08	-77.17	Peru	South America	1970	2015	-0.400426738	1970	2015	0.717412654	0.342110535	0.003390923	-0.403133931	0.409915778	0.062225755	0.029226251	0.095225258	0.043020755	0.000283478	-0.00266855
371a	37100000	Legaspi	pacific	13.25	123.83	Philippines	Pacific	1984	2015	7.701538462	1984	2015	2.03125	0.373437977	0.048859948	-0.171669861	0.269389757	0.041081196	0.027628874	0.054533517	0.012660137	4.71E-05	-0.000486839
370a	37000000	Manila	pacific	14.6	120.98	Philippines	Pacific	1984	2015	12.95254069	1984	2015	1.625	0.489265876	-0.093189037	-0.395667688	0.209289613	0.081559038	0.048473335	0.114644741	0.023817341	0.00028496	-0.002074143
209a	20900000	Cascais	atlantic	38.77	-9.42	Portugal	Europe	1959	2005	0.484373978	1959	2005	1.787208015	0.68233201	-0.25664208	-0.474517179	-0.038766982	0.121789804	0.085222313	0.158357294	0.01235717	0.000348092	-0.00178147
218b	21800000	Funchal-B	atlantic	32.73	-17.03	Portugal	Europe	1982	2013	2.68712518	1982	2013	1.90625	0.504509793	-0.409569943	-0.648606369	-0.170533517	0.080626224	0.053935088	0.10731736	0.014874144	0.000185455	-0.001521801
013b	1300000	Kanton-B	pacific	-2.9	-171.73	Rep. of Kiribati	SIDS	1972	2012	0.998787234	1972	2012	1.438952324	0.298562307	-0.025734541	-0.265194148	0.213725065	0.051208348	0.033314869	0.069101828	0.014926856	8.33E-05	-0.000785125
011b	1100000	Christmas-B	pacific	2.12	-157.52	Rep. of Kiribati	SIDS	1974	2015	1.046673584	1974	2015	1.071463494	0.295992296	-0.355757755	-0.668709477	-0.042806033	0.080619722	0.047155213	0.11408423	0.025495205	0.000291523	-0.002466012
005a	500000	Majuro-A	pacific	7.17	171.43	Rep. of Marshall I	SIDS	1968	1999	2.454430464	1968	1999	1.90625	0.471979379	-0.455975402	-0.747245107	-0.164705696	0.077209677	0.048869698	0.105549655	0.02208485	0.000209075	-0.002021935
